Club,Set_andata_1,Set_andata_2,Set_andata_3,Set_andata_4,Set_andata_5,Set_andata_6,Set_andata_7,Set_andata_8,Set_andata_9,Set_andata_10,Set_andata_11,Set_andata_12,Set_andata_13,Set_ritorno_1,Set_ritorno_2,Set_ritorno_3,Set_ritorno_4,Set_ritorno_5,Set_ritorno_6,Set_ritorno_7,Set_ritorno_8,Set_ritorno_9,Set_ritorno_10,Set_ritorno_11,Set_ritorno_12,Set_ritorno_13,ACE_andata_1,ACE_andata_2,ACE_andata_3,ACE_andata_4,ACE_andata_5,ACE_andata_6,ACE_andata_7,ACE_andata_8,ACE_andata_9,ACE_andata_10,ACE_andata_11,ACE_andata_12,ACE_andata_13,ACE_ritorno_1,ACE_ritorno_2,ACE_ritorno_3,ACE_ritorno_4,ACE_ritorno_5,ACE_ritorno_6,ACE_ritorno_7,ACE_ritorno_8,ACE_ritorno_9,ACE_ritorno_10,ACE_ritorno_11,ACE_ritorno_12,ACE_ritorno_13,DiffSet_andata_1,DiffSet_andata_2,DiffSet_andata_3,DiffSet_andata_4,DiffSet_andata_5,DiffSet_andata_6,DiffSet_andata_7,DiffSet_andata_8,DiffSet_andata_9,DiffSet_andata_10,DiffSet_andata_11,DiffSet_andata_12,DiffSet_andata_13,DiffSet_ritorno_1,DiffSet_ritorno_2,DiffSet_ritorno_3,DiffSet_ritorno_4,DiffSet_ritorno_5,DiffSet_ritorno_6,DiffSet_ritorno_7,DiffSet_ritorno_8,DiffSet_ritorno_9,DiffSet_ritorno_10,DiffSet_ritorno_11,DiffSet_ritorno_12,DiffSet_ritorno_13,DiffAtt_andata_1,DiffAtt_andata_2,DiffAtt_andata_3,DiffAtt_andata_4,DiffAtt_andata_5,DiffAtt_andata_6,DiffAtt_andata_7,DiffAtt_andata_8,DiffAtt_andata_9,DiffAtt_andata_10,DiffAtt_andata_11,DiffAtt_andata_12,DiffAtt_andata_13,DiffAtt_ritorno_1,DiffAtt_ritorno_2,DiffAtt_ritorno_3,DiffAtt_ritorno_4,DiffAtt_ritorno_5,DiffAtt_ritorno_6,DiffAtt_ritorno_7,DiffAtt_ritorno_8,DiffAtt_ritorno_9,DiffAtt_ritorno_10,DiffAtt_ritorno_11,DiffAtt_ritorno_12,DiffAtt_ritorno_13
Modena,3,7,12,15,18,21,25,28,32,36,41,45,50,53,58,62,65,70,73,78,81,86,90,93,97,101,11,20,23,35,43,49,52,60,63,69,80,92,101,109,122,131,138,150,154,164,165,175,183,186,193,197,3,4,5,3,3,3,4,3,4,4,5,4,5,3,5,4,3,5,3,5,3,5,4,3,4,4,11,9,3,12,8,6,3,8,3,6,11,12,9,8,13,9,7,12,4,10,1,10,8,3,7,4
Perugia,4,8,11,16,21,25,29,34,39,42,45,48,51,55,59,62,65,69,72,77,81,84,88,92,95,98,8,16,20,28,41,47,50,60,63,70,74,80,81,91,101,109,117,120,122,126,126,134,142,155,161,166,4,4,3,5,5,4,4,5,5,3,3,3,3,4,4,3,3,4,3,5,4,3,4,4,3,3,8,8,4,8,13,6,3,10,3,7,4,6,1,10,10,8,8,3,2,4,0,8,8,13,6,5
Molfetta,4,7,11,16,19,23,27,30,35,39,43,47,52,56,59,62,66,69,74,79,83,86,90,94,99,102,7,8,15,24,26,31,36,43,50,58,62,70,82,86,91,95,97,107,122,130,135,138,147,156,167,168,4,3,4,5,3,4,4,3,5,4,4,4,5,4,3,3,4,3,5,5,4,3,4,4,5,3,7,1,7,9,2,5,5,7,7,8,4,8,12,4,5,4,2,10,15,8,5,3,9,9,11,1
Milano Power,4,8,11,16,19,24,27,30,34,37,40,45,48,52,57,60,63,66,70,74,77,81,86,89,92,95,6,10,12,20,25,32,37,42,50,51,56,59,61,66,72,76,78,82,89,92,95,97,99,103,114,118,4,4,3,5,3,5,3,3,4,3,3,5,3,4,5,3,3,3,4,4,3,4,5,3,3,3,6,4,2,8,5,7,5,5,8,1,5,3,2,5,6,4,2,4,7,3,3,2,2,4,11,4
Padova,3,7,12,15,18,23,26,30,34,39,42,47,50,54,58,62,65,68,72,76,81,85,88,93,96,99,5,12,20,22,32,37,44,51,57,66,70,74,78,81,87,94,101,102,107,111,123,132,137,140,148,148,3,4,5,3,3,5,3,4,4,5,3,5,3,4,4,4,3,3,4,4,5,4,3,5,3,3,5,7,8,2,10,5,7,7,6,9,4,4,4,3,6,7,7,1,5,4,12,9,5,3,8,0
Verona,3,6,11,16,20,24,27,30,33,38,41,44,47,51,54,57,60,63,67,71,74,77,80,85,88,91,4,8,18,25,31,38,41,43,45,48,50,52,57,62,67,74,75,81,86,91,94,96,103,109,111,117,3,3,5,5,4,4,3,3,3,5,3,3,3,4,3,3,3,3,4,4,3,3,3,5,3,3,4,4,10,7,6,7,3,2,2,3,2,2,5,5,5,7,1,6,5,5,3,2,7,6,2,6
Vibo Valentia,3,6,10,15,20,23,26,30,34,39,44,48,53,58,62,65,68,72,75,79,84,88,91,95,99,103,4,6,10,20,23,28,31,41,46,52,55,61,64,70,76,86,91,99,106,107,112,119,123,130,138,147,3,3,4,5,5,3,3,4,4,5,5,4,5,5,4,3,3,4,3,4,5,4,3,4,4,4,4,2,4,10,3,5,3,10,5,6,3,6,3,6,6,10,5,8,7,1,5,7,4,7,8,9
Latina,3,8,12,15,18,21,25,29,34,39,42,47,52,56,60,63,66,71,74,79,84,88,91,95,98,102,4,8,12,14,16,19,24,30,35,43,44,47,53,56,60,61,64,69,79,80,82,89,91,94,96,99,3,5,4,3,3,3,4,4,5,5,3,5,5,4,4,3,3,5,3,5,5,4,3,4,3,4,4,4,4,2,2,3,5,6,5,8,1,3,6,3,4,1,3,5,10,1,2,7,2,3,2,3
Piacenza,4,7,12,17,21,26,29,33,37,40,43,47,51,55,59,62,66,69,73,78,83,87,90,95,99,104,3,7,13,16,22,28,37,41,47,52,55,55,64,70,77,82,93,96,101,109,115,118,121,128,136,142,4,3,5,5,4,5,3,4,4,3,3,4,4,4,4,3,4,3,4,5,5,4,3,5,4,5,3,4,6,3,6,6,9,4,6,5,3,0,9,6,7,5,11,3,5,8,6,3,3,7,8,6
Milano Vero Volley,3,6,9,14,17,20,23,28,32,35,39,44,48,51,55,58,61,65,68,72,76,81,85,89,92,97,3,9,16,26,30,36,40,45,53,55,60,62,66,69,77,81,87,98,101,108,114,119,127,131,131,140,3,3,3,5,3,3,3,5,4,3,4,5,4,3,4,3,3,4,3,4,4,5,4,4,3,5,3,6,7,10,4,6,4,5,8,2,5,2,4,3,8,4,6,11,3,7,6,5,8,4,0,9
Macerata,3,6,10,14,17,22,25,30,34,38,41,45,50,53,57,60,63,66,70,74,78,81,84,89,94,98,3,8,19,29,32,37,43,52,56,60,66,79,84,89,97,103,110,118,121,128,138,142,152,162,169,175,3,3,4,4,3,5,3,5,4,4,3,4,5,3,4,3,3,3,4,4,4,3,3,5,5,4,3,5,11,10,3,5,6,9,4,4,6,13,5,5,8,6,7,8,3,7,10,4,10,10,7,6
Sora,3,6,9,13,16,20,23,26,31,34,39,44,49,52,56,59,62,66,70,75,79,83,88,92,95,98,3,6,10,13,17,23,27,30,35,41,46,50,60,62,65,70,74,78,87,95,102,106,115,124,126,129,3,3,3,4,3,4,3,3,5,3,5,5,5,3,4,3,3,4,4,5,4,4,5,4,3,3,3,3,4,3,4,6,4,3,5,6,5,4,10,2,3,5,4,4,9,8,7,4,9,9,2,3
Ravenna Robur,3,8,13,18,22,26,30,35,39,42,45,49,54,58,62,66,69,72,77,80,84,87,90,93,97,100,3,5,9,14,21,27,30,33,34,35,36,41,44,49,56,64,67,70,74,77,84,89,93,103,107,111,3,5,5,5,4,4,4,5,4,3,3,4,5,4,4,4,3,3,5,3,4,3,3,3,4,3,3,2,4,5,7,6,3,3,1,1,1,5,3,5,7,8,3,3,4,3,7,5,4,10,4,4
Trento,3,6,11,14,18,22,26,29,32,36,41,46,51,56,60,64,67,70,73,76,79,82,85,88,91,94,3,13,26,32,34,42,45,48,54,60,65,71,77,83,93,100,104,109,110,114,120,127,128,135,139,146,3,3,5,3,4,4,4,3,3,4,5,5,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,10,13,6,2,8,3,3,6,6,5,6,6,6,10,7,4,5,1,4,6,7,1,7,4,7
