Club,Set_andata_1,Set_andata_2,Set_andata_3,Set_andata_4,Set_andata_5,Set_andata_6,Set_andata_7,Set_andata_8,Set_andata_9,Set_andata_10,Set_andata_11,Set_andata_12,Set_andata_13,Set_ritorno_1,Set_ritorno_2,Set_ritorno_3,Set_ritorno_4,Set_ritorno_5,Set_ritorno_6,Set_ritorno_7,Set_ritorno_8,Set_ritorno_9,Set_ritorno_10,Set_ritorno_11,Set_ritorno_12,Set_ritorno_13,Att_andata_1,Att_andata_2,Att_andata_3,Att_andata_4,Att_andata_5,Att_andata_6,Att_andata_7,Att_andata_8,Att_andata_9,Att_andata_10,Att_andata_11,Att_andata_12,Att_andata_13,Att_ritorno_1,Att_ritorno_2,Att_ritorno_3,Att_ritorno_4,Att_ritorno_5,Att_ritorno_6,Att_ritorno_7,Att_ritorno_8,Att_ritorno_9,Att_ritorno_10,Att_ritorno_11,Att_ritorno_12,Att_ritorno_13,DiffSet_andata_1,DiffSet_andata_2,DiffSet_andata_3,DiffSet_andata_4,DiffSet_andata_5,DiffSet_andata_6,DiffSet_andata_7,DiffSet_andata_8,DiffSet_andata_9,DiffSet_andata_10,DiffSet_andata_11,DiffSet_andata_12,DiffSet_andata_13,DiffSet_ritorno_1,DiffSet_ritorno_2,DiffSet_ritorno_3,DiffSet_ritorno_4,DiffSet_ritorno_5,DiffSet_ritorno_6,DiffSet_ritorno_7,DiffSet_ritorno_8,DiffSet_ritorno_9,DiffSet_ritorno_10,DiffSet_ritorno_11,DiffSet_ritorno_12,DiffSet_ritorno_13,DiffAtt_andata_1,DiffAtt_andata_2,DiffAtt_andata_3,DiffAtt_andata_4,DiffAtt_andata_5,DiffAtt_andata_6,DiffAtt_andata_7,DiffAtt_andata_8,DiffAtt_andata_9,DiffAtt_andata_10,DiffAtt_andata_11,DiffAtt_andata_12,DiffAtt_andata_13,DiffAtt_ritorno_1,DiffAtt_ritorno_2,DiffAtt_ritorno_3,DiffAtt_ritorno_4,DiffAtt_ritorno_5,DiffAtt_ritorno_6,DiffAtt_ritorno_7,DiffAtt_ritorno_8,DiffAtt_ritorno_9,DiffAtt_ritorno_10,DiffAtt_ritorno_11,DiffAtt_ritorno_12,DiffAtt_ritorno_13
Macerata,3,6,10,14,17,22,25,30,34,38,41,45,50,53,57,60,63,66,70,74,78,81,84,89,94,98,50,90,140,192,234,291,336,398,456,503,546,599,663,706,747,792,833,870,926,989,1045,1085,1118,1172,1225,1280,3,3,4,4,3,5,3,5,4,4,3,4,5,3,4,3,3,3,4,4,4,3,3,5,5,4,50,40,50,52,42,57,45,62,58,47,43,53,64,43,41,45,41,37,56,63,56,40,33,54,53,55
Milano Power,4,8,11,16,19,24,27,30,34,37,40,45,48,52,57,60,63,66,70,74,77,81,86,89,92,95,48,93,125,188,212,282,314,343,390,422,453,521,555,608,660,692,730,755,798,850,877,924,994,1027,1074,1107,4,4,3,5,3,5,3,3,4,3,3,5,3,4,5,3,3,3,4,4,3,4,5,3,3,3,48,45,32,63,24,70,32,29,47,32,31,68,34,53,52,32,38,25,43,52,27,47,70,33,47,33
Perugia,4,8,11,16,21,25,29,34,39,42,45,48,51,55,59,62,65,69,72,77,81,84,88,92,95,98,48,93,133,185,251,300,345,390,445,482,515,556,601,646,696,730,772,830,864,911,955,994,1050,1104,1139,1183,4,4,3,5,5,4,4,5,5,3,3,3,3,4,4,3,3,4,3,5,4,3,4,4,3,3,48,45,40,52,66,49,45,45,55,37,33,41,45,45,50,34,42,58,34,47,44,39,56,54,35,44
Molfetta,4,7,11,16,19,23,27,30,35,39,43,47,52,56,59,62,66,69,74,79,83,86,90,94,99,102,47,77,132,183,210,256,308,350,404,459,516,557,617,661,705,749,790,829,879,946,991,1022.9999999999999,1063,1112,1168,1195,4,3,4,5,3,4,4,3,5,4,4,4,5,4,3,3,4,3,5,5,4,3,4,4,5,3,47,30,55,51,27,46,52,42,54,55,57,41,60,44,44,44,41,39,50,67,45,31.999999999999886,40.000000000000114,49,56,27
Modena,3,7,12,15,18,21,25,28,32,36,41,45,50,53,58,62,65,70,73,78,81,86,90,93,97,101,46,100,164,197,238,280,338,374,416,463,509,564,618,655,713,761,799,861,907,959,999,1055,1106,1147,1195,1237,3,4,5,3,3,3,4,3,4,4,5,4,5,3,5,4,3,5,3,5,3,5,4,3,4,4,46,54,64,33,41,42,58,36,42,47,46,55,54,37,58,48,38,62,46,52,40,56,51,41,48,42
Trento,3,6,11,14,18,22,26,29,32,36,41,46,51,56,60,64,67,70,73,76,79,82,85,88,91,94,45,84,141,181,236,282,348,394,435,481,525,589,649,702,760,808,853,900,931,968,1006,1044,1066,1101,1142,1181,3,3,5,3,4,4,4,3,3,4,5,5,5,5,4,4,3,3,3,3,3,3,3,3,3,3,45,39,57,40,55,46,66,46,41,46,44,64,60,53,58,48,45,47,31,37,38,38,22,35,41,39
Piacenza,4,7,12,17,21,26,29,33,37,40,43,47,51,55,59,62,66,69,73,78,83,87,90,95,99,104,43,71,132,191,247,325,367,427,484,529,567,617,671,717,769,803,850,879,937,996,1047,1107,1133,1198,1243,1303,4,3,5,5,4,5,3,4,4,3,3,4,4,4,4,3,4,3,4,5,5,4,3,5,4,5,43,28,61,59,56,78,42,60,57,45,38,50,54,46,52,34,47,29,58,59,51,60,26,65,45,60
Verona,3,6,11,16,20,24,27,30,33,38,41,44,47,51,54,57,60,63,67,71,74,77,80,85,88,91,42,77,133,194,246,303,343,382,410,474,504,531,579,639,680,722,766,805,856,914,953,988,1027,1074,1107,1151,3,3,5,5,4,4,3,3,3,5,3,3,3,4,3,3,3,3,4,4,3,3,3,5,3,3,42,35,56,61,52,57,40,39,28,64,30,27,48,60,41,42,44,39,51,58,39,35,39,47,33,44
Padova,3,7,12,15,18,23,26,30,34,39,42,47,50,54,58,62,65,68,72,76,81,85,88,93,96,99,40,87,139,170,205,254,291,336,372,434,462,520,546,591,640,670,698,732,777,826,883,939,968,1018.9999999999999,1062,1098,3,4,5,3,3,5,3,4,4,5,3,5,3,4,4,4,3,3,4,4,5,4,3,5,3,3,40,47,52,31,35,49,37,45,36,62,28,58,26,45,49,30,28,34,45,49,57,56,29,50.999999999999886,43.000000000000114,36
Ravenna Robur,3,8,13,18,22,26,30,35,39,42,45,49,54,58,62,66,69,72,77,80,84,87,90,93,97,100,40,116,176,242,287,337,401,464,517,551,589,635,698,762,815,857,895,924,976,1004.9999999999999,1053,1086,1126,1168,1225,1267,3,5,5,5,4,4,4,5,4,3,3,4,5,4,4,4,3,3,5,3,4,3,3,3,4,3,40,76,60,66,45,50,64,63,53,34,38,46,63,64,53,42,38,29,52,28.999999999999886,48.000000000000114,33,40,42,57,42
Latina,3,8,12,15,18,21,25,29,34,39,42,47,52,56,60,63,66,71,74,79,84,88,91,95,98,102,32,96,142,167,199,239,295,345,405,461,492,545,611,667,718,745,770,818,859,921,972,1022,1062,1112,1155,1213,3,5,4,3,3,3,4,4,5,5,3,5,5,4,4,3,3,5,3,5,5,4,3,4,3,4,32,64,46,25,32,40,56,50,60,56,31,53,66,56,51,27,25,48,41,62,51,50,40,50,43,58
Vibo Valentia,3,6,10,15,20,23,26,30,34,39,44,48,53,58,62,65,68,72,75,79,84,88,91,95,99,103,30,67,122,184,242,267,297,344,395,455,521,568,633,688,737,775,814,848,884,919,977,1022.9999999999999,1058,1107,1151,1213,3,3,4,5,5,3,3,4,4,5,5,4,5,5,4,3,3,4,3,4,5,4,3,4,4,4,30,37,55,62,58,25,30,47,51,60,66,47,65,55,49,38,39,34,36,35,58,45.999999999999886,35.000000000000114,49,44,62
Sora,3,6,9,13,16,20,23,26,31,34,39,44,49,52,56,59,62,66,70,75,79,83,88,92,95,98,27,55,90,128,165,215,248,283,352,392,460,512,558,584,620,651,677,717,764,814,859,912,962,1020.9999999999999,1058,1087,3,3,3,4,3,4,3,3,5,3,5,5,5,3,4,3,3,4,4,5,4,4,5,4,3,3,27,28,35,38,37,50,33,35,69,40,68,52,46,26,36,31,26,40,47,50,45,53,50,58.999999999999886,37.000000000000114,29
Milano Vero Volley,3,6,9,14,17,20,23,28,32,35,39,44,48,51,55,58,61,65,68,72,76,81,85,89,92,97,26,66,108,166,208,253,281,338,393,425,481,538,579,603,651,690,724,775,808,856,893,951,1002.9999999999999,1046,1086,1143,3,3,3,5,3,3,3,5,4,3,4,5,4,3,4,3,3,4,3,4,4,5,4,4,3,5,26,40,42,58,42,45,28,57,55,32,56,57,41,24,48,39,34,51,33,48,37,58,51.999999999999886,43.000000000000114,40,57
