Club,Set_andata_1,Set_andata_2,Set_andata_3,Set_andata_4,Set_andata_5,Set_andata_6,Set_andata_7,Set_andata_8,Set_andata_9,Set_andata_10,Set_andata_11,Set_andata_12,Set_andata_13,Set_ritorno_1,Set_ritorno_2,Set_ritorno_3,Set_ritorno_4,Set_ritorno_5,Set_ritorno_6,Set_ritorno_7,Set_ritorno_8,Set_ritorno_9,Set_ritorno_10,Set_ritorno_11,Set_ritorno_12,Set_ritorno_13,Muri_andata_1,Muri_andata_2,Muri_andata_3,Muri_andata_4,Muri_andata_5,Muri_andata_6,Muri_andata_7,Muri_andata_8,Muri_andata_9,Muri_andata_10,Muri_andata_11,Muri_andata_12,Muri_andata_13,Muri_ritorno_1,Muri_ritorno_2,Muri_ritorno_3,Muri_ritorno_4,Muri_ritorno_5,Muri_ritorno_6,Muri_ritorno_7,Muri_ritorno_8,Muri_ritorno_9,Muri_ritorno_10,Muri_ritorno_11,Muri_ritorno_12,Muri_ritorno_13,DiffSet_andata_1,DiffSet_andata_2,DiffSet_andata_3,DiffSet_andata_4,DiffSet_andata_5,DiffSet_andata_6,DiffSet_andata_7,DiffSet_andata_8,DiffSet_andata_9,DiffSet_andata_10,DiffSet_andata_11,DiffSet_andata_12,DiffSet_andata_13,DiffSet_ritorno_1,DiffSet_ritorno_2,DiffSet_ritorno_3,DiffSet_ritorno_4,DiffSet_ritorno_5,DiffSet_ritorno_6,DiffSet_ritorno_7,DiffSet_ritorno_8,DiffSet_ritorno_9,DiffSet_ritorno_10,DiffSet_ritorno_11,DiffSet_ritorno_12,DiffSet_ritorno_13,DiffMuri_andata_1,DiffMuri_andata_2,DiffMuri_andata_3,DiffMuri_andata_4,DiffMuri_andata_5,DiffMuri_andata_6,DiffMuri_andata_7,DiffMuri_andata_8,DiffMuri_andata_9,DiffMuri_andata_10,DiffMuri_andata_11,DiffMuri_andata_12,DiffMuri_andata_13,DiffMuri_ritorno_1,DiffMuri_ritorno_2,DiffMuri_ritorno_3,DiffMuri_ritorno_4,DiffMuri_ritorno_5,DiffMuri_ritorno_6,DiffMuri_ritorno_7,DiffMuri_ritorno_8,DiffMuri_ritorno_9,DiffMuri_ritorno_10,DiffMuri_ritorno_11,DiffMuri_ritorno_12,DiffMuri_ritorno_13
Molfetta,4,7,11,16,19,23,27,30,35,39,43,47,52,56,59,62,66,69,74,79,83,86,90,94,99,102,13,17,28,37,39,47,52,58,63,77,90,95,106,114,120,130,135,141,149,158,165,167,173,183,189,196,4,3,4,5,3,4,4,3,5,4,4,4,5,4,3,3,4,3,5,5,4,3,4,4,5,3,13,4,11,9,2,8,5,6,5,14,13,5,11,8,6,10,5,6,8,9,7,2,6,10,6,7
Verona,3,6,11,16,20,24,27,30,33,38,41,44,47,51,54,57,60,63,67,71,74,77,80,85,88,91,13,20,34,47,56,68,76,81,86,98,102,107,120,129,135,143,153,165,176,185,193,198,209,218,220,228,3,3,5,5,4,4,3,3,3,5,3,3,3,4,3,3,3,3,4,4,3,3,3,5,3,3,13,7,14,13,9,12,8,5,5,12,4,5,13,9,6,8,10,12,11,9,8,5,11,9,2,8
Perugia,4,8,11,16,21,25,29,34,39,42,45,48,51,55,59,62,65,69,72,77,81,84,88,92,95,98,9,19,25,34,46,54,63,76,91,99,107,117,128,135,147,158,166,177,185,197,203,209,218,228,233,239,4,4,3,5,5,4,4,5,5,3,3,3,3,4,4,3,3,4,3,5,4,3,4,4,3,3,9,10,6,9,12,8,9,13,15,8,8,10,11,7,12,11,8,11,8,12,6,6,9,10,5,6
Trento,3,6,11,14,18,22,26,29,32,36,41,46,51,56,60,64,67,70,73,76,79,82,85,88,91,94,8,16,28,34,42,49,60,69,76,85,100,108,119,129,139,149,156,163,167,175,179,196,202,211,218,222,3,3,5,3,4,4,4,3,3,4,5,5,5,5,4,4,3,3,3,3,3,3,3,3,3,3,8,8,12,6,8,7,11,9,7,9,15,8,11,10,10,10,7,7,4,8,4,17,6,9,7,4
Milano Power,4,8,11,16,19,24,27,30,34,37,40,45,48,52,57,60,63,66,70,74,77,81,86,89,92,95,7,16,19,31,34,49,52,55,64,70,79,90,91,102,108,111,115,118,124,131,134,142,151,158,164,164,4,4,3,5,3,5,3,3,4,3,3,5,3,4,5,3,3,3,4,4,3,4,5,3,3,3,7,9,3,12,3,15,3,3,9,6,9,11,1,11,6,3,4,3,6,7,3,8,9,7,6,0
Padova,3,7,12,15,18,23,26,30,34,39,42,47,50,54,58,62,65,68,72,76,81,85,88,93,96,99,7,11,17,25,33,41,48,60,70,84,91,99,102,114,114,119,125,130,136,142,156,170,178,192,200,204,3,4,5,3,3,5,3,4,4,5,3,5,3,4,4,4,3,3,4,4,5,4,3,5,3,3,7,4,6,8,8,8,7,12,10,14,7,8,3,12,0,5,6,5,6,6,14,14,8,14,8,4
Vibo Valentia,3,6,10,15,20,23,26,30,34,39,44,48,53,58,62,65,68,72,75,79,84,88,91,95,99,103,7,13,19,29,32,40,45,55,71,81,85,96,105,116,120,130,135,144,150,155,170,176,183,189,198,207,3,3,4,5,5,3,3,4,4,5,5,4,5,5,4,3,3,4,3,4,5,4,3,4,4,4,7,6,6,10,3,8,5,10,16,10,4,11,9,11,4,10,5,9,6,5,15,6,7,6,9,9
Sora,3,6,9,13,16,20,23,26,31,34,39,44,49,52,56,59,62,66,70,75,79,83,88,92,95,98,6,9,12,19,29,36,41,45,55,69,78,89,99,103,112,118,119,127,134,143,148,156,162,173,188,191,3,3,3,4,3,4,3,3,5,3,5,5,5,3,4,3,3,4,4,5,4,4,5,4,3,3,6,3,3,7,10,7,5,4,10,14,9,11,10,4,9,6,1,8,7,9,5,8,6,11,15,3
Latina,3,8,12,15,18,21,25,29,34,39,42,47,52,56,60,63,66,71,74,79,84,88,91,95,98,102,6,22,30,35,40,44,52,70,79,88,92,102,112,125,137,139,150,164,172,180,188,198,209,216,221,235,3,5,4,3,3,3,4,4,5,5,3,5,5,4,4,3,3,5,3,5,5,4,3,4,3,4,6,16,8,5,5,4,8,18,9,9,4,10,10,13,12,2,11,14,8,8,8,10,11,7,5,14
Macerata,3,6,10,14,17,22,25,30,34,38,41,45,50,53,57,60,63,66,70,74,78,81,84,89,94,98,6,17,25,35,41,46,51,57,70,81,87,94,109,116,126,133,137,146,157,164,171,185,196,207,215,225,3,3,4,4,3,5,3,5,4,4,3,4,5,3,4,3,3,3,4,4,4,3,3,5,5,4,6,11,8,10,6,5,5,6,13,11,6,7,15,7,10,7,4,9,11,7,7,14,11,11,8,10
Piacenza,4,7,12,17,21,26,29,33,37,40,43,47,51,55,59,62,66,69,73,78,83,87,90,95,99,104,5,8,19,28,39,51,58,71,78,83,94,104,110,116,128,136,148,153,172,185,195,204,208,222,236,246,4,3,5,5,4,5,3,4,4,3,3,4,4,4,4,3,4,3,4,5,5,4,3,5,4,5,5,3,11,9,11,12,7,13,7,5,11,10,6,6,12,8,12,5,19,13,10,9,4,14,14,10
Milano Vero Volley,3,6,9,14,17,20,23,28,32,35,39,44,48,51,55,58,61,65,68,72,76,81,85,89,92,97,5,12,22,29,31,36,43,57,70,76,87,96,102,109,118,125,126,140,142,154,164,172,179,184,188,195,3,3,3,5,3,3,3,5,4,3,4,5,4,3,4,3,3,4,3,4,4,5,4,4,3,5,5,7,10,7,2,5,7,14,13,6,11,9,6,7,9,7,1,14,2,12,10,8,7,5,4,7
Modena,3,7,12,15,18,21,25,28,32,36,41,45,50,53,58,62,65,70,73,78,81,86,90,93,97,101,5,15,25,34,41,47,57,62,68,79,90,98,111,118,125,130,133,143,149,161,166,176,187,193,203,211,3,4,5,3,3,3,4,3,4,4,5,4,5,3,5,4,3,5,3,5,3,5,4,3,4,4,5,10,10,9,7,6,10,5,6,11,11,8,13,7,7,5,3,10,6,12,5,10,11,6,10,8
Ravenna Robur,3,8,13,18,22,26,30,35,39,42,45,49,54,58,62,66,69,72,77,80,84,87,90,93,97,100,4,15,29,41,43,56,60,70,79,88,98,116,129,142,156,164,170,177,185,190,205,210,215,220,230,237,3,5,5,5,4,4,4,5,4,3,3,4,5,4,4,4,3,3,5,3,4,3,3,3,4,3,4,11,14,12,2,13,4,10,9,9,10,18,13,13,14,8,6,7,8,5,15,5,5,5,10,7
